CMDLINE /opt/anaconda3/envs/classifier/bin/python3.11 prot2.py
MEM 0.734375 1747316976.6740
MEM 43.546875 1747316976.7810
MEM 63.546875 1747316976.8907
MEM 78.796875 1747316977.0003
MEM 95.718750 1747316977.1103
MEM 109.406250 1747316977.2199
MEM 120.546875 1747316977.3299
MEM 132.796875 1747316977.4396
MEM 148.703125 1747316977.5496
MEM 160.828125 1747316977.6596
MEM 184.296875 1747316977.7694
MEM 262.484375 1747316977.8789
MEM 300.125000 1747316977.9884
MEM 277.109375 1747316978.0982
MEM 291.875000 1747316978.2078
MEM 304.046875 1747316978.3177
MEM 317.515625 1747316978.4272
MEM 325.953125 1747316978.5370
MEM 343.531250 1747316978.6468
MEM 364.937500 1747316978.7565
MEM 375.984375 1747316978.8649
MEM 385.890625 1747316978.9747
MEM 394.421875 1747316979.0848
MEM 406.015625 1747316979.1947
MEM 411.687500 1747316979.3045
MEM 419.796875 1747316979.4145
MEM 427.187500 1747316979.5247
MEM 435.984375 1747316979.6347
MEM 996.406250 1747316979.7445
MEM 1157.468750 1747316979.8532
MEM 1499.281250 1747316979.9685
MEM 1559.375000 1747316980.0823
MEM 1599.359375 1747316980.1962
MEM 1575.015625 1747316980.3079
MEM 1588.281250 1747316980.4222
MEM 1083.578125 1747316980.5393
MEM 956.421875 1747316980.6528
MEM 1225.093750 1747316980.7717
MEM 1363.296875 1747316980.8844
MEM 1528.484375 1747316980.9960
MEM 1690.281250 1747316981.1076
MEM 1833.953125 1747316981.2413
MEM 1955.078125 1747316981.3566
MEM 2083.078125 1747316981.4653
MEM 2147.484375 1747316981.5822
MEM 2185.968750 1747316981.7046
MEM 2227.656250 1747316981.8182
MEM 2296.109375 1747316981.9330
MEM 2391.140625 1747316982.0423
MEM 2478.843750 1747316982.1559
MEM 2543.250000 1747316982.2748
MEM 2569.421875 1747316982.3867
MEM 2666.093750 1747316982.5025
MEM 2791.578125 1747316982.6160
MEM 2928.281250 1747316982.7276
MEM 3032.937500 1747316982.8421
MEM 3220.015625 1747316982.9615
MEM 3438.625000 1747316983.0803
MEM 3520.406250 1747316983.1901
MEM 3607.343750 1747316983.3074
MEM 3701.125000 1747316983.4242
MEM 3810.703125 1747316983.5474
MEM 3888.859375 1747316983.6581
MEM 3903.031250 1747316983.7781
MEM 3925.140625 1747316983.8988
MEM 3983.906250 1747316984.0164
MEM 4012.093750 1747316984.1391
MEM 4081.000000 1747316984.2510
MEM 4176.906250 1747316984.3701
MEM 4329.875000 1747316984.4859
MEM 4596.187500 1747316984.6105
MEM 4632.859375 1747316984.7168
MEM 4632.109375 1747316984.8332
MEM 4493.015625 1747316984.9456
MEM 4366.015625 1747316985.0622
MEM 4228.656250 1747316985.1752
MEM 4319.734375 1747316985.2901
MEM 4079.468750 1747316985.4036
MEM 4010.046875 1747316985.5259
MEM 3963.812500 1747316985.6467
MEM 3729.421875 1747316985.7728
MEM 3753.984375 1747316985.8861
MEM 3728.640625 1747316986.0074
MEM 3700.218750 1747316986.1225
MEM 3666.218750 1747316986.2381
MEM 3671.109375 1747316986.3526
MEM 3607.812500 1747316986.4786
MEM 3547.718750 1747316986.5938
MEM 3568.640625 1747316986.7057
MEM 3592.968750 1747316986.8232
